,op_num,cus_num,pause_prob,fix_lam,fix_rls,total_ptcls,multi_run,eps,bf_time,avg_qsz,avg_qpc,avg_wt,job_scale,mean_ot
35,9.3,1.0,1.0,5.0,17.0,1511.75,20.0,0.29,720.0,12.481654065730599,0.0042818710345559514,9.084377833814028,5.0,33.59451114922813
36,9.23,1.0,0.0,5.0,17.0,1508.55,20.0,0.28,720.0,8.721115568585095,0.0029918063700120393,8.356227587461365,5.0,33.59451114922813
37,9.23,1.0,0.5,5.0,17.0,1500.05,20.0,0.28,720.0,10.60258447770406,0.003637250249641187,9.21690716472241,5.0,33.59451114922813
38,9.23,1.0,1.0,5.0,17.0,1502.3,20.0,0.28,720.0,12.085249189939825,0.004145883084027384,7.993966285203937,5.0,33.59451114922813
39,9.15,1.0,0.0,5.0,17.0,1497.8,20.0,0.27,720.0,9.01083166178059,0.0030911943951219866,9.627051680171126,5.0,33.59451114922813
40,9.15,1.0,0.5,5.0,17.0,1503.05,20.0,0.27,720.0,10.260762228051227,0.003519987042213114,7.717984123736626,5.0,33.59451114922813
41,9.15,1.0,1.0,5.0,17.0,1500.15,20.0,0.27,720.0,12.290040117265853,0.00421613726149772,8.769005877709988,5.0,33.59451114922813
42,9.08,1.0,0.0,5.0,17.0,1498.85,20.0,0.26,720.0,9.313454713778738,0.003195010193406085,10.905637699474614,5.0,33.59451114922813
43,9.08,1.0,0.5,5.0,17.0,1499.3,20.0,0.26,720.0,10.476631692640025,0.0035940417470463207,8.54250253863162,5.0,33.59451114922813
44,9.08,1.0,1.0,5.0,17.0,1486.0,20.0,0.26,720.0,12.58281129455331,0.004316573342899935,10.753923064024784,5.0,33.59451114922813
45,9.01,1.0,0.0,5.0,17.0,1492.75,20.0,0.25,720.0,8.994422157074526,0.003085565062461244,9.902304669591812,5.0,33.59451114922813
46,9.01,1.0,0.5,5.0,17.0,1496.3,20.0,0.25,720.0,10.746158000308595,0.003686503602164184,9.782636553493491,5.0,33.59451114922813
47,9.01,1.0,1.0,5.0,17.0,1514.05,20.0,0.25,720.0,13.179787069896621,0.004521367776979973,12.084111222164655,5.0,33.59451114922813
48,8.94,1.0,0.0,5.0,17.0,1484.9,20.0,0.24,720.0,8.87399321092424,0.003044251530334216,9.342104659565125,5.0,33.59451114922813
49,8.94,1.0,0.5,5.0,17.0,1500.55,20.0,0.24,720.0,10.586336985033174,0.003631676495723216,9.490987063517867,5.0,33.59451114922813
50,8.94,1.0,1.0,5.0,17.0,1517.0,20.0,0.24,720.0,13.244399012498071,0.004543533108918721,13.117013077774448,5.0,33.59451114922813
