,op_num,cus_num,pause_prob,fix_lam,fix_rls,total_ptcls,multi_run,eps,bf_time,avg_qsz,avg_qpc,avg_wt,job_scale,mean_ot
28,8.72,1.0,0.5,10.0,8.0,2980.35,20.0,0.21,720.0,11.368415367998768,0.0038999709667234196,7.140343519678405,10.0,16.301200686106345
29,8.72,1.0,1.0,10.0,8.0,2982.2,20.0,0.21,720.0,12.483065884894307,0.004282355363600106,6.215591008605251,10.0,16.301200686106345
30,8.65,1.0,0.0,10.0,8.0,3023.6,20.0,0.2,720.0,10.826793704675204,0.003714165936423741,9.421710182819389,10.0,16.301200686106345
31,8.65,1.0,0.5,10.0,8.0,2995.75,20.0,0.2,720.0,11.697022064496219,0.004012700536705392,7.895564581807842,10.0,16.301200686106345
32,8.65,1.0,1.0,10.0,8.0,3003.5,20.0,0.2,720.0,13.639885820089493,0.004679206113238248,8.778594850054747,10.0,16.301200686106345
33,8.58,1.0,0.0,10.0,8.0,2998.3,20.0,0.19,720.0,10.64423700046289,0.0036515392797471322,9.200439976163647,10.0,16.301200686106345
34,8.58,1.0,0.5,10.0,8.0,3025.7,20.0,0.19,720.0,12.956033019595742,0.004444608239998539,10.829168409149151,10.0,16.301200686106345
35,8.58,1.0,1.0,10.0,8.0,3015.9,20.0,0.19,720.0,14.925135010029315,0.005120114926253624,11.87141623819448,10.0,16.301200686106345
36,8.51,1.0,0.0,10.0,8.0,3005.25,20.0,0.18,720.0,10.797153217096126,0.003703997673103302,9.665131376551725,10.0,16.301200686106345
37,8.51,1.0,0.5,10.0,8.0,3007.65,20.0,0.18,720.0,13.212945533096745,0.004532742893000599,11.587101572477186,10.0,16.301200686106345
38,8.51,1.0,1.0,10.0,8.0,2989.05,20.0,0.18,720.0,14.721223576608548,0.005050162461958336,11.550648384775517,10.0,16.301200686106345
39,8.43,1.0,0.0,10.0,8.0,3017.8,20.0,0.17,720.0,12.91299953710847,0.004429845467275633,14.529361514440348,10.0,16.301200686106345
40,8.43,1.0,0.5,10.0,8.0,2992.55,20.0,0.17,720.0,13.123059713007253,0.004501907277189452,11.444069218917509,10.0,16.301200686106345
41,8.43,1.0,1.0,10.0,8.0,2972.05,20.0,0.17,720.0,14.418469372010494,0.00494630167135866,11.055185524634593,10.0,16.301200686106345
42,8.36,1.0,0.0,10.0,8.0,2995.0,20.0,0.16,720.0,12.459651288381423,0.004274322911966183,13.488064056204013,10.0,16.301200686106345
